id,subject_id,unit_title,normalized_unit_title,topics,source_text,created_by,created_at,updated_at
unit_9d1fe38b,sub_f039f47f,Scenario Revision - Tenses Simple & Continuous,scenario revision tenses simple continuous,"[{""title"":""Simple Tenses"",""subtopics"":[""Simple Present — use and structure"",""Simple Past — use and structure"",""Simple Future — use and structure"",""Examples and negative forms""]},{""title"":""Continuous Tenses"",""subtopics"":[""Present Continuous — use and structure"",""Past Continuous — use and structure"",""Future Continuous — use and structure"",""Examples and negative forms""]},{""title"":""Sentence Patterns & Auxiliaries"",""subtopics"":[""Subject + V1 / V1(s/es)"",""Do / does / did for negatives and questions"",""Be + V3 (passive/result) and negatives"",""Will / be going to for future forms""]}]",Imported from cheap mode,ADMIN,2026-03-29T23:01:52.822Z,2026-03-31T13:21:18.839Z
unit_d2a557aa,sub_7c1b53e0,React Context,react context,"[{""title"":""Prop drilling vs React Context"",""subtopics"":[""Definition of prop drilling: passing props through components that don't use them"",""How Context avoids prop drilling by providing global-like access to data""]},{""title"":""Creating a Context and its API"",""subtopics"":[""Create context with React.createContext(INITIAL_VALUE)"",""Context object exposes Provider and Consumer properties"",""Role of the default/initial value returned by createContext""]},{""title"":""Accessing context via Consumer component"",""subtopics"":[""Syntax: <ContextObject.Consumer>{value => /* render */}</ContextObject.Consumer>"",""Consumer callback receives current context value as argument"",""Consumer must return JSX or a component from the callback""]},{""title"":""Windows App example and translation use-case"",""subtopics"":[""Windows App uses Context to provide language data across components"",""Project code flow: commands to download initial and final code examples"",""Example use-case: translating app text between languages (Google Translator reference)""]}]","1. Prop Drilling
Props are passed from one Component to another Component that does not need the data but only helps in passing it through the tree is called Prop Drilling.


2. React Context
Context is a mechanism that provides different Components and allows us to pass data without doing prop drilling.

2.1 Creating Context
Syntax:

JSX
1
React.createContext(INITIAL_VALUE)
It returns an object with different properties to update and access values from the context.

2.2 Context Properties
The Context object provides two properties.

Consumer
Provider

2.3 How to Access the Value?
We can access the value in the Context using Consumer Component provided by the Context Object.

3. Consumer Component
Syntax:

JSX
123
<ContextObject.Consumer>  {/*callback function*/}</ContextObject.Consumer>
We access the Consumer component using dot notation from the context object.
We will give a callback function as children for Consumer Component.
3.1 Understanding Syntax
 The callback function receives the current context value as an argument and returns a component or a JSX element.


4. Windows App Example
4.1 Initial Code
 Run the below command in your IDE to download the initial code.

ccbp start RJSIVWKZP2
4.2 Final Code
 Run the below command in your IDE to download the final code.

ccbp start RJSIVM06DJ
5. Google Translator
In the Windows App example, we are using three different languages to display the text.
You can translate one language to another language using google translator.
Check google translator website here .",ADMIN,2026-04-06T03:09:22.267Z,2026-04-06T03:09:22.267Z
unit_b0301f41,sub_7c1b53e0,More Modern JS Concepts | Part 3,more modern js concepts part 3,"[{""title"":""this keyword"",""subtopics"":[""this in object methods"",""this in regular functions (global/window)"",""this in arrow functions (lexical this)"",""this in constructor functions"",""arrow functions as callbacks (inherits surrounding this)""]},{""title"":""Mutable vs Immutable values"",""subtopics"":[""Primitive types are immutable (Number"",""String"",""Boolean"",""Symbol"",""undefined)"",""Objects"",""Arrays"",""Functions are mutable"",""Assignment copies references for objects (shared mutation)"",""Examples demonstrating value vs reference behavior""]},{""title"":""Variable declarations"",""subtopics"":[""let"",""const"",""var: let: optional initialization"",""reassignable"",""block-scoped"",""const: must initialize"",""cannot reassign binding"",""object properties still mutable"",""var: older function-scoped syntax and hoisting"",""Mutating object properties declared with const""]}]",Imported from cheap mode,ADMIN,2026-03-29T12:53:00.496Z,2026-03-30T04:26:29.518Z
unit_3d167fc5,sub_7c1b53e0,JS Promises,js promises,"[{""title"":""Synchronous vs Asynchronous Execution"",""subtopics"":[""Synchronous behavior (line-by-line execution)"",""Asynchronous behavior (non-blocking operations)"",""Examples: alert() (sync) vs fetch() (async)""]},{""title"":""Promises: Concept and Creation"",""subtopics"":[""Promise as an object representing a future result"",""Creating promises using fetch()"",""Inspecting promise objects (pending, value)""]},{""title"":""Promise States"",""subtopics"":[""Pending: neither fulfilled nor rejected"",""Fulfilled / Resolved: successful result"",""Rejected: failure reasons (network, bad URL, timeout)""]},{""title"":""Handling Promise Results"",""subtopics"":[""then() for success callbacks"",""catch() for error handling"",""Returning values from then()""]},{""title"":""Promise Chaining"",""subtopics"":[""Chaining multiple then() and catch()"",""OnSuccess callback returning a promise"",""Common pattern: fetch().then(response => response.json()).then(data => ...)""]},{""title"":""Fetch API and Error Handling"",""subtopics"":[""Parsing JSON responses with response.json()"",""Handling network/URL errors (TypeError: Failed to fetch)"",""Testing behavior with valid vs invalid URLs""]}]",Imported from cheap mode,ADMIN,2026-03-29T12:55:36.587Z,2026-03-30T04:26:29.687Z
unit_fb6a30c0,sub_5734fd48,C++  STL | Part - 3,c stl part 3,"[{""title"":""Map"",""subtopics"":[""Key-value container with sorted unique keys"",""Declaration forms (pair keys, nested types)"",""operator[], insert, emplace semantics"",""find, iteration, and use-cases""]},{""title"":""Multimap"",""subtopics"":[""Allows duplicate keys, sorted order"",""insert and emplace for duplicates"",""find vs equal_range to get all matches"",""Iteration and typical scenarios""]},{""title"":""Unordered Map"",""subtopics"":[""Hash table based, keys unordered"",""Average O(1) insert/lookup/delete"",""operator[], insert, emplace, erase"",""When to prefer unordered_map""]},{""title"":""Sorting (std::sort)"",""subtopics"":[""sort(begin,end) default ascending"",""Sorting subranges and containers"",""Custom comparator functions (return bool)"",""Sorting 2D vectors and by specific columns""]},{""title"":""Max/Min and find utilities"",""subtopics"":[""max_element and min_element usage"",""find algorithm and return iterator semantics"",""Checking presence and computing indices"",""Complexities and common pitfalls""]},{""title"":""Permutations (next_permutation / prev_permutation)"",""subtopics"":[""Generate next and previous lexicographic permutations"",""Using sort + next_permutation to list all permutations"",""Return values and edge cases (already max/min)"",""Typical algorithmic applications""]}]",Imported from cheap mode,ADMIN,2026-03-29T13:45:46.900Z,2026-03-31T12:07:01.529Z
unit_3c346618,sub_5734fd48,Introduction to Binary Search,introduction to binary search,"[{""title"":""Scope and applications of searching algorithms"",""subtopics"":[""Definition of a search problem and search space"",""Key applications: databases, search engines, competitive programming, AI, IoT"",""When to choose linear vs binary search (sorted requirement)""]},{""title"":""Linear Search: algorithm and properties"",""subtopics"":[""Stepwise algorithm and return values (index or -1)"",""For-loop pseudocode comparing arr[i] to target"",""Time complexity O(n) and space complexity O(1)"",""Applicability on sorted and unsorted arrays""]},{""title"":""Binary Search fundamentals"",""subtopics"":[""Prerequisite: input must be sorted"",""Search-space halving strategy and mid index role"",""Calculation of mid and its effect on halves"",""Termination condition: low > high implies target not present""]},{""title"":""Iterative binary search: procedure and C++ implementation"",""subtopics"":[""Iterative pseudocode: while(low <= high) with mid = (low+high)/2"",""Pointer update rules: if target>arr[mid] then low=mid+1 else high=mid-1"",""Concrete C++ implementation outline (function and main usage)"",""Trace example of iterations showing low, high, mid and final result""]},{""title"":""Recursive binary search: procedure and implementation"",""subtopics"":[""Recursive pseudocode with base case low > high => -1"",""Recursive calls for left half (low, mid-1) and right half (mid+1, high)"",""C++ recursive function signature and expected return values"",""Termination ensured by base case to avoid infinite recursion""]},{""title"":""Complexity and implementation pitfalls"",""subtopics"":[""Time complexity derivation: O(log2(n))"",""Space complexity: O(1) for iterative implementation"",""Integer overflow risk in mid = (low + high) / 2 and fixes: use mid = low + (high - low)/2 or wider types"",""Interpretation of low > high (search ended: target not found)""]}]","Binary Search
Introduction
Searching Algorithms
Searching algorithms are fundamental in computer science. They help efficiently locate a target element within a list or data structure.
Importance of Searching Algorithms
These algorithms are essential in coding interviews, competitive programming, and real-world applications including databases, search engines, IoT systems, AI, cryptography, robotics, and bioinformatics.
Linear Search
A simple algorithm that sequentially checks each list element until the target is found or the end of the list is reached.

Alternatively, it is called a Sequential search algorithm, and is applicable on both sorted and unsorted lists.

Pseudo Code

123456
linear_search(arr[], n, target){    for i from 0 to n-1        if (arr[i] == target)            return i    return -1}
Explanation : 

Search Loop:

Use a for loop to iterate through the array from index 0 to n-1.

Check if the current element at index i is equal to the target value.

If a match is found, return the index i.

No Match Found:

If the loop completes without finding a match, return -1, indicating that the target element is not present in the array.
Question 2 of 2
Which of the following is another name for Linear Search?

Parallel Search

Indexed Search

Recursive Search

Sequential Search

Binary Search
Binary search: 

It is a classic algorithm that efficiently locates a target value within a sorted array.
Search space

Search space is the range of elements where the algorithm looks for the target value.
Prerequisites

Binary search relies on the sorted nature of the data to efficiently locate a specific element by repeatedly dividing the search space in half.

If the data is not sorted, binary search may not work correctly in some cases.

Example:

Finding a Page Number in a Book

Target Page: 309

First Open: 500, and search space is on the left side of the book as 309 < 500

Next Open: 250, and search space is on the right side of the book as 309 > 250

The process continues, narrowing down the search space until the target page, 309, is found.

Example - 1:

Input:

12
8 82 3 5 6 8 9 12 15
Output:

1
4
Explanation:

Element to be found = 8

Iteration 1:

low = 0 and high = 7

mid: (0 + 7)/2 = 3

arr[mid]: 6 (less than 8)
Now low becomes mid + 1 = 4

Search Space: [8, 9, 12, 15]

Iteration 2:

low = 4 and high = 7

mid: (4 + 7)/2 = 5

arr[mid]: 9 (greater than 8)

Now high becomes mid - 1 = 4

Search Space: [8]

Iteration 3:

low = 4 and high = 4

mid: (4 + 4)/2 = 4

arr[mid]: 8 (target found)

Search Space: [8] (final result)

Example - 2:

Input:

12
8 102 3 5 6 8 9 12 15
Output:

1
-1
Element to be found = 10

Iteration 1:

low = 0 and high = 7

mid: (0 + 7)/2 = 3

arr[mid]: 6 (less than target)

Now low becomes mid + 1 = 4

Search Space: [8, 9, 12, 15]

Iteration 2:

low = 4 and high = 7

mid: (4 + 7)/2 = 5

arr[mid]: 9 (less than target)

Now low becomes mid + 1 = 6

Search Space: [12, 15]

Iteration 3:

low = 6 and high = 7

mid: (6 + 7)/2 = 6

arr[mid]: 12 (greater than target)

Now high becomes mid - 1 = 5

Search Space: [12]

low and high crossed -> Search ends

Question 2 of 2
What does it mean when the low index becomes greater than the high index during Binary Search?

Array is empty

Array is unsorted

Target is not present in the array

Target has been found

Iterative Method
Pseudo Code
12345678910111213
function(arr[], n, target){        low = 0, high = n-1        while(low <= high){                mid = (low + high)/2                if (target == arr[mid])                    return mid                else if (target > arr[mid])                    low = mid + 1                else if(target < arr[mid])                    high = mid - 1        }        return -1}
Collapse
Explanation
Initialization

Initialize two pointers, low and high, to the beginning and end of the array, respectively.
Binary Search

Enter a while loop as long as low is less than or equal to high.
Calculate Middle Index

Calculate the middle index mid using the formula (low + high) / 2.
Check for Target

If the target value is equal to the element at index mid (arr[mid]), return mid as the index where the target is found.
Adjust Low and High

If the target is greater than the element at mid, update low to mid + 1. This narrows the search to the right half of the array.

If the target is less than the element at mid, update high to mid - 1. This narrows the search to the left half of the array.

Repeat Binary Search

The algorithm continues running until low becomes greater than high, indicating that the entire array has been searched.
Final Result

The algorithm returns either the index of the target element if found or -1 if the element is not present in the array.
Code Implementation
CPP
12345678910111213141516171819202122232425
#include <bits/stdc++.h>using namespace std;int binarySearch(int arr[], int n, int target){    int low = 0, high = n - 1;    while (low <= high) {        int mid = (low + high) / 2;        if (target == arr[mid])             return mid;        else if (target > arr[mid])             low = mid + 1;        else if (target < arr[mid])            high = mid - 1;    }    return -1;}int main() {    int n, target;    cin >> n >> target;    int arr[n];    for (int i = 0; i < n; i++){        cin >> arr[i];    }    cout << binarySearch(arr,n,target);    return 0;}
Collapse
Recursive Method
Pseudo Code
123456789101112
function(arr[], low, high, target) {        if(low > high)            return -1 // --> base case        mid = (low + high)/2        if(target == arr[mid])            return mid        if(target > arr[mid])            return function(arr, mid+1, high, target)        if(target < arr[mid])            return function(arr, low, mid-1, target)    return 0;}
Collapse
Explanation
Base Case

Check if low is greater than high. If true, return -1. This serves as the base case for the recursive function.
Calculate Middle Index

Calculate the middle index mid using the formula (low + high) / 2.
Check for Target

If the target value is equal to the element at index mid (arr[mid]), return mid as the index where the target is found.
Recursive Calls

If the target is greater than the element at mid, make a recursive call to the function with updated parameters (func(arr, mid+1, high, target)). This narrows the search to the right half of the array.

If the target is less than the element at mid, make a recursive call to the function with updated parameters (func(arr, low, mid-1, target)). This narrows the search to the left half of the array.

Termination

The base case ensures that the recursive calls stop when the search range is reduced to an empty array (low > high), preventing an infinite loop.
Final Result

The function returns either the index of the target element if found or -1 if the element is not present in the array.
Code Implementation
CPP
123456789101112131415161718192021222324
#include <bits/stdc++.h>using namespace std;int binarySearch(int arr[], int low, int high, int target){    if (low > high)        return -1;    int mid = (low + high)/2;    if(target == arr[mid])        return mid;    else if (target > arr[mid])        return binarySearch(arr, mid+1, high, target);    else if (target < arr[mid])        return binarySearch(arr, low, mid - 1, target);    return 0;}int main() {    int n, target;    cin >> n >> target;    int arr[n];    for (int i = 0; i < n; i++){        cin >> arr[i];    }    cout << binarySearch(arr, 0, n-1, target);    return 0;}
Collapse
Complexity Analysis
Time complexity: O(log₂(n))

Reduction of search space:

After the first comparison, the search interval becomes n/2

After the second comparison, it becomes n/4

After k comparisons, it becomes n/2^k

Termination:

The algorithm continues until the search interval becomes 1: n/2^k = 1

Solving for k: n = 2^k

Taking the logarithm base 2of both sides: k = log₂(n)

Space Complexity: O(1)

The space complexity is O(1) as the algorithm uses a constant amount of extra space. The primary variables used are low, high, mid, and target, which all require constant space.
Overflow Case
When applying binary search to an array of size INT_MAX, the usual (low + high) / 2 calculation for the middle index poses a risk of integer overflow.
Change Data Type
Use long long for low, high, and mid to accommodate larger values without overflow
12
long long low, high, mid;mid = (low + high) / 2;
Modify Calculation
Alternatively, use mid = low + (high - low) / 2 to reduce the risk of overflow during the calculation.
mid = low + (high - low) / 2;


1
mid = low + (high - low) / 2;
Question 2 of 2
What happens in the Iterative Binary Search when the target is greater than arr[mid]?

low = mid + 1

high = mid + 1

low = mid - 1

mid = mid + 1


Submit Feedback",ADMIN,2026-04-02T01:38:31.637Z,2026-04-02T01:38:31.637Z
unit_fb849392,sub_7c1b53e0,React Context - Part 2,react context part 2,"[{""title"":""Provider behavior and update propagation"",""subtopics"":[""Provider updates context value and causes re-render of nested consumers"",""Updated context value is accessible only to consumers nested within that Provider"",""Example pattern: provider supplies activeLanguage and changeLanguage function""]},{""title"":""Context flow in the Windows App example"",""subtopics"":[""LanguageContext structure used to pass language state to components"",""Wrapping main App with Provider to share activeLanguage and updater"",""Components consuming context: Header, LandingSection, FeaturesSection, Playtime, NewWaysToConnect""]},{""title"":""Best practices for context value design"",""subtopics"":[""Include only data that consumers need in the context value"",""Provide required methods in context to update the shared data"",""Avoid placing unrelated or heavy state in a single context""]},{""title"":""Implementation files and consumption patterns"",""subtopics"":[""LanguageContext.js: createContext with default object (activeLanguage, changeLanguage)"",""App.jsx: useState to hold activeLanguage and pass value to Provider"",""Components import LanguageContext and consume provided values to render language-specific content""]}]","1. Provider
Provider Component updates the value of Context.
When the provider updates context, all the nested consumers of that provider will be re-rendered.
Updated context value can only be accessed by the consumers nested within the provider.
2. Context Flow For Windows App

3. Best Practice
The context value should have the data which the consumers need.
It should also contain the required methods to update that data.
4.Final Code
File: src/App.jsx

JSX
1234567891011
import { useState } from ""react"";import Header from ""./components/Header"";import LandingSection from ""./components/LandingSection"";import FeaturesSection from ""./components/FeaturesSection"";import LanguageContext from ""./context/LanguageContext"";const App = () => {  const [activeLanguage, setLanguage] = useState(""EN"");  const changeLanguage = (activeLanguage) => { 
Expand
File: src/context/LanguageContext.js

JAVASCRIPT
12345678
import React from ""react"";const LanguageContext = React.createContext({  activeLanguage: ""HI"",  changeLanguage: () => {},});export default LanguageContext;
File: src/components/FeaturesSection/index.jsx

JSX
1234567891011
import Playtime from ""../Playtime"";import NewWaysToConnect from ""../NewWaysToConnect"";import ""./index.css"";const FeaturesSection = () => {  return (    <div className=""features-section-container"">      <Playtime />      <NewWaysToConnect />    </div> 
Expand
File: src/components/Header/index.jsx

JSX
1234567891011
import { use } from ""react"";import LanguageContext from ""../../context/LanguageContext"";import ""./index.css"";const languageOptions = [  { id: 1, value: ""EN"", language: ""English"" },  { id: 2, value: ""HI"", language: ""हिंदी"" },  { id: 3, value: ""TE"", language: ""తెలుగు"" },]; 
Expand
File: src/components/LandingSection/index.js

JSX
123456789101112
import { use } from ""react"";import ""./index.css"";import LanguageContext from ""../../context/LanguageContext"";const landingSectionContent = {  EN: {    heading: ""Windows 11"",    description:      ""Windows 11 provides a calm and creative space where you can pursue your passions through a fresh experience. From a rejuvenated Start menu to new ways to connect to your favorite people, news, games, and content. Windows  is the place to think, express, and create in a natural way."",  },  HI: {  
Expand
File: src/components/NewWaysToConnect/index.jsx

JSX
123456789101112
import { use } from ""react"";import ""./index.css"";import LanguageContext from ""../../context/LanguageContext"";const newWaysToConnectContent = {  EN: {    heading: ""New ways to connect"",    description:      ""Connect instantly to the people you care about right from your desktop with Microsoft Teams. Call or chat for free, no matter what device they’re on."",  },  HI: {  
Expand
File: src/components/Playtime/index.jsx

JSX
123456789101112
import { use } from ""react"";import ""./index.css"";import LanguageContext from ""../../context/LanguageContext"";const playtimeContent = {  EN: {    heading: ""Playtime. Anytime"",    description:      ""Windows takes gaming to a whole new level with graphic capabilities that rival reality. Discover your next favorite game with Xbox GamePass, giving you access to over 100 high-quality games."",  },  HI: {  
Expand
Submit Feedback

Mark as Completed",ADMIN,2026-04-06T03:09:22.707Z,2026-04-06T03:09:22.707Z
unit_1531a98d,sub_f039f47f,Past Perfect,past perfect,"[{""title"":""Definition & use"",""subtopics"":[""Shows which of two past actions happened earlier"",""Used to indicate sequence of past events; keyword: had""]},{""title"":""Structure — had (simple past perfect)"",""subtopics"":[""Form: Subject + had + V3"",""Positive and negative sentence patterns"",""Note: had does not change with subject""]},{""title"":""Structure — had been (perfect passive/emphasis)"",""subtopics"":[""Form: Subject + had been + V3 (passive/perfect emphasis)"",""Used to emphasize receiver or completed action before another past event"",""Negative: had not been + V3""]},{""title"":""Examples & signals"",""subtopics"":[""She had finished her homework before dinner"",""They had left the house when I arrived"",""Signal words: before, by the time, when, after""]}]","Past Perfect Tense
Definition
The past perfect tense is used to talk about something that happened before another action in the past. It helps us show the order of two past actions. ”Had” is the keyword here.

Examples

She had finished her homework before dinner.
Here, first action : “She” finished her homework.
Second action: “She” ate dinner.

They had left the house when I arrived.
Here, first action: They left the house.
Second action: The speaker arrived.

She was tired because she had worked all day.
First action: She worked all day.
Second action : She got tired.

They had visited the museum before they went to the park.
First action: They visited the museum.
Second action: They went to the park.

I went home after the meeting had ended.
First action: The meeting ended.
Second action: I went home.

(Note: When we are talking about two past actions, we use past perfect (had) for the action which happened first (or earlier).)

Structure
1. Using “Had”
Positive Sentences

I/you/ we/ any plural noun/ those/ these/he/ she/ it/ any singular noun/this/ that + had + verb (III form)

Examples

John had studied for the exam before the class started.The children had played outside before it started raining.I had already left when you called me.You had completed your work before the meeting started.She had finished reading the book by the time I called her.We had already eaten when they arrived at the restaurant.
Negative Sentences

I/you/ we/ any plural noun/ those/ these/he/ she/ it/ any singular noun/this/ that + had not + verb (III form)

Examples

She had not finished her homework before she went to bed.They had not received the package when I called them.He had not heard about the meeting until yesterday.I had not tried that restaurant before last weekend.You had not called me back when I sent the reminder.
(Note: In past perfect tense, “had” does not change its form depending on the subject.)

2. Using “Had Been”
We use “had been” in past perfect tense when we want to emphasize the action or the receiver of an action, and we also want to convey that the action was completed before another past event.

Positive Sentences

I/you/ we/ any plural noun/ those/ these/he/ she/ it/ any singular noun/this/ that + had been + verb (III form)

Examples

The emails had been sent by the time the office closed.The book had been read by all the students before the discussion.The dishes had been washed before they started cooking dinner.The tickets had been sold by the time we arrived at the event.The application had been processed before the deadline passed.
Negative Sentences

I/you/ we/ any plural noun/ those/ these/he/ she/ it/ any singular noun/this/ that + had not been + verb (III form)

Examples

The house had not been cleaned before the guests arrived.The documents had not been signed when the manager left.The cake had not been baked properly, so it tasted raw.The homework had not been submitted before the deadline passed.The room had not been decorated when the party started.
Submit Feedback

Mark as Completed",ADMIN,2026-03-29T23:05:26.869Z,2026-03-29T23:05:26.869Z
unit_bbd8b81b,sub_3a59846e,SQL Case Clause & Set Operations,sql case clause set operations,"[{""title"":""CASE Clause Basics"",""subtopics"":[""CASE WHEN ... THEN ... ELSE ... END syntax"",""Use of CASE in SELECT, WHERE, HAVING, ORDER BY, GROUP BY"",""ELSE behavior and NULL results""]},{""title"":""CASE with Aggregates"",""subtopics"":[""COUNT(CASE WHEN ... THEN 1 END) pattern"",""Conditional aggregation per group"",""Categorization examples (rating buckets, tax brackets)""]},{""title"":""Set Operations Overview"",""subtopics"":[""UNION vs UNION ALL (deduplication vs duplicates)"",""INTERSECT: common rows between queries"",""EXCEPT / MINUS: rows in first query not in second""]},{""title"":""Rules & Applying Set Operations"",""subtopics"":[""Same number of columns and compatible data types required"",""Column order must match across SELECTs"",""Combining multiple SELECTs to query actors/movies sets""]},{""title"":""Ordering and Pagination with Set Operations"",""subtopics"":[""ORDER BY allowed only once at the end of the combined query"",""Sorting must reference columns from the first SELECT (use positions)"",""LIMIT and OFFSET applied at the end for pagination""]}]",Imported from cheap mode,ADMIN,2026-03-29T13:23:43.334Z,2026-03-30T02:22:38.845Z
unit_9c790b58,sub_7c1b53e0,JS Promises | Part 2,js promises part 2,"[{""title"":""Asynchronous JS styles"",""subtopics"":[""Callback-based patterns (setTimeout"",""setInterval)"",""Promise-based patterns (fetch"",""Promise API)""]},{""title"":""Creating Promises"",""subtopics"":[""Promise constructor and executor function"",""resolve vs reject functions"",""Returning and constructing promise objects""]},{""title"":""Consuming Promises (then / catch)"",""subtopics"":[""then() to handle resolved values"",""catch() to handle rejections"",""Passing arguments from resolve/reject to handlers""]},{""title"":""Async/Await"",""subtopics"":[""Using async functions and await to pause for promises"",""Error handling with try/catch around await"",""Async functions always return a Promise""]},{""title"":""String manipulation methods"",""subtopics"":[""Case and trimming: toUpperCase"",""toLowerCase"",""trim"",""Search and slice: includes"",""startsWith"",""endsWith"",""indexOf"",""slice"",""substring"",""Transform and split: split"",""replace"",""concat"",""toString"",""length""]}]",Imported from cheap mode,ADMIN,2026-03-29T12:59:32.370Z,2026-03-30T04:26:29.739Z
