id,name,created_at
uni1,Chaitanya (Deemed to be University),2026-03-26T00:05:20.368Z
uni2,NRI Institute of Technology,2026-03-26T00:05:20.397Z
uni3,Malla Reddy Vishwavidyapeeth,2026-03-26T00:05:20.431Z
uni4,Nadimpalli Satyanarayana Raju Institute of Technology,2026-03-26T00:05:20.469Z
uni5,Takshashila University,2026-03-26T00:05:20.508Z
uni6,"BITS Pilani, Hyderabad Campus",2026-03-26T00:05:20.777Z
uni7,Chalapathi Institute of Engineering and Technology,2026-03-26T00:05:20.812Z
uni8,Aurora Deemed University,2026-03-26T00:05:20.842Z
uni9,Ajeenkya DY Patil University,2026-03-26T00:05:20.872Z
uni10,Vivekananda Global University,2026-03-26T00:05:20.916Z
uni11,Noida International University,2026-03-26T00:05:20.948Z
uni12,S-VYASA Deemed to be University,2026-03-26T00:05:20.976Z
uni13,Academy of Maritime Education and Training,2026-03-26T00:05:21.010Z
uni14,B.S. Abdur Rahman Crescent Institute of Science and Technology,2026-03-26T00:05:21.049Z
uni15,Sanjay Ghodawat University,2026-03-26T00:05:21.078Z
uni16,Annamacharya University,2026-03-26T00:05:21.108Z
uni17,Chalapathi Institute of Technology - Autonomous,2026-03-26T00:05:21.137Z
uni18,Yenepoya University,2026-03-30T04:23:03.622Z
